"","CETR","STR","HHI_Dum","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELAT","FAM_Dum","GDP"
"CETR"," 1.00 ","-0.02*  ","-0.04***"," 0.02*  "," 0.04***"," 0.04***"," 0.02*  ","-0.04***","-0.03***","-0.06***"," 0.00   "," 0.01   "," 0.02*  "
"STR",""," 1.00 ","-0.02   "," 0.03** ","-0.21***","-0.15***"," 0.06***"," 0.12***","-0.02*  ","-0.13***"," 0.01   ","-0.03***"," 0.00   "
"HHI_Dum","",""," 1.00 "," 0.01   ","-0.12***","-0.09***"," 0.01   "," 0.10***","-0.07***","-0.06***"," 0.04***","-0.02   "," 0.01   "
"ROA","","",""," 1.00 "," 0.13***","-0.24***","-0.04***"," 0.08***"," 0.13***"," 0.18***"," 0.00   ","-0.04***","-0.04***"
"SIZE","","","",""," 1.00 "," 0.31***"," 0.04***","-0.22***"," 0.16***"," 0.40***"," 0.02   "," 0.02*  "," 0.04***"
"LEV","","","","",""," 1.00 ","-0.06***","-0.58***","-0.04***"," 0.06***"," 0.03** "," 0.07***","-0.04***"
"INTANG","","","","","",""," 1.00 "," 0.03***","-0.03** "," 0.06***"," 0.00   "," 0.00   "," 0.01   "
"QUICK","","","","","","",""," 1.00 "," 0.00   ","-0.03***","-0.02   ","-0.07***"," 0.05***"
"EQINC","","","","","","","",""," 1.00 "," 0.12***","-0.01   "," 0.01   "," 0.00   "
"OUTINSTI","","","","","","","","",""," 1.00 ","-0.01   ","-0.03***"," 0.06***"
"RELAT","","","","","","","","","",""," 1.00 ","-0.02*  ","-0.11***"
"FAM_Dum","","","","","","","","","","",""," 1.00 "," 0.01   "
"GDP","","","","","","","","","","","",""," 1.00 "
