"","ETR_Estimate","ETR_Std. Error","ETR_t value","ETR_Pr(>|t|)","CETR_Estimate","CETR_Std. Error","CETR_t value","CETR_Pr(>|t|)"
"(Intercept)",-1.13078582744441,0.418786076849693,-2.70015143758052,0.00694039376101636,-1.02916157585815,0.37637824955943,-2.73438111012748,0.006258824912928
"STR",-0.00120088807481283,0.000623966118378527,-1.92460462105462,0.0543021703168416,-0.00114804261981098,0.000560781001093289,-2.04722096071866,0.040657861161627
"HHI_Dum",-0.0230612267766404,0.00486549156308931,-4.73975270075236,2.16407233122149e-06,-0.0165875973352101,0.00437279388927486,-3.79336363780933,0.000149340900236205
"ROA",0.216875645024619,0.0252202887004191,8.59925306965317,9.00245783456132e-18,0.105374676463276,0.0226663889732278,4.64893974014732,3.37159350740424e-06
"SIZE",0.00594723174175359,0.00196641793231865,3.02439865097297,0.00249648387034275,0.0081653377838674,0.0017672911784362,4.62025606391164,3.87207898376595e-06
"LEV",0.030596265133888,0.0174468728437518,1.75368190092847,0.0795102469551923,0.0230334360770791,0.0156801379611627,1.46895621289363,0.141870562251
"INTANG",0.158102396800692,0.0757745764622139,2.08648341148475,0.0369556604584158,0.193522314802903,0.0681013625488589,2.84168051210519,0.00449511731237067
"QUICK",-0.00104712409100708,0.00114685229367467,-0.913041807373425,0.361238675073616,-0.00204091107969798,0.00103071778804961,-1.98008718134178,0.0477162633547503
"EQINC",-1.33159664585296,0.354381018837628,-3.75752812670556,0.000172402903854394,-1.18547364964498,0.318495085965013,-3.72210970242475,0.000198457065889408
"OUTINSTI",-0.0963515245856973,0.0115550397379313,-8.33848491835194,8.33252418014011e-17,-0.0915043699123639,0.0103849336703549,-8.81126185462064,1.40459743307045e-18
"RELAT",-1.78952636971968e-05,0.000237378017091464,-0.0753871985134225,0.939907885787258,0.000129736697152181,0.000213340240986188,0.608121077169783,0.54311854381285
"FAM_Dum",0.00370092342200092,0.00488769025525135,0.757192708360483,0.448949105062076,0.00383140091664843,0.00439274465975249,0.872211160314587,0.383110431859958
"GDP",0.0767023353916571,0.0254880524102303,3.0093446983368,0.0026234896423228,0.0675057818618968,0.022907037939288,2.94694504111845,0.00321540141048253
