"","ETR.PR.SH_Estimate","ETR.PR.SH_Std. Error","ETR.PR.SH_t value","ETR.PR.SH_Pr(>|t|)","CETR.PR.SH_Estimate","CETR.PR.SH_Std. Error","CETR.PR.SH_t value","CETR.PR.SH_Pr(>|t|)"
"(Intercept)",-1.14570675558469,0.418858844971698,-2.73530514954771,0.00624129234531676,-1.03743890153283,0.376474938536377,-2.75566523914202,0.0058660218686896
"STR.PR",-0.000313351245163479,0.00403812772231693,-0.0775981511014936,0.938148991339477,-0.00252857083018778,0.0036295136280673,-0.696669330742871,0.486023088628583
"HHI_Dum",-0.000270471458588656,0.0155544818219984,-0.0173886511735887,0.986126848449967,-0.00685820201556152,0.0139805394065338,-0.490553462647968,0.623751169843041
"STR.PR_HHI",-0.0089531936280393,0.0058142624600563,-1.53986747064607,0.123618711532558,-0.00381352335390086,0.005225923073039,-0.729732011092004,0.46556808270385
"ROA",0.214995941570628,0.0252140957603686,8.52681546123727,1.68148557840392e-17,0.104060803315249,0.0226627066984261,4.59171998737805,4.44022293942494e-06
"SIZE",0.00619915204482901,0.00196419876524627,3.15607165349774,0.00160300213815162,0.00835393393204387,0.00176544346215079,4.73191813340003,2.24915917558105e-06
"LEV",0.030790300150797,0.0174490743716974,1.76458071614041,0.0776593884035088,0.0232240865397874,0.0156834200362782,1.48080498297352,0.138684487107435
"INTANG",0.162190669763478,0.0758878078461057,2.13724278466954,0.0325981624243018,0.19388067990759,0.0682087966805464,2.84245858808539,0.00448416789273847
"QUICK",-0.000931114944972506,0.00114995414210902,-0.809697457382813,0.41812994165742,-0.0019961584449614,0.00103359143579599,-1.93128384759122,0.0534711991376047
"EQINC",-1.34198860343067,0.35453042333541,-3.78525653963709,0.000154288715019578,-1.18789750896648,0.318655845368367,-3.72783843834175,0.000194006139410568
"OUTINSTI",-0.0966123556706106,0.0115627269365326,-8.35549920022434,7.22100886559742e-17,-0.0914518863158621,0.0103927061944655,-8.79962202381548,1.55719522196201e-18
"RELAT",-1.49334631452444e-05,0.000237398745172371,-0.0629045580438999,0.949843540336305,0.000130076765339342,0.000213376604243419,0.609611188633178,0.54213080150033
"FAM_Dum",0.00393441932032546,0.00488818229618687,0.804883918383034,0.420902424044574,0.00397467920462066,0.00439355203215515,0.904661917175699,0.365662465501511
"GDP",0.0762932687761607,0.0254870218283306,2.99341638619211,0.00276428189063876,0.0671523516755419,0.0229080156512976,2.93139103350221,0.00338076838144189
