"","ETR.CR4.SH_Estimate","ETR.CR4.SH_Std. Error","ETR.CR4.SH_t value","ETR.CR4.SH_Pr(>|t|)","CETR.CR4.SH_Estimate","CETR.CR4.SH_Std. Error","CETR.CR4.SH_t value","CETR.CR4.SH_Pr(>|t|)"
"(Intercept)",-1.12085223990068,0.419643307279845,-2.67096417470855,0.00757344652991225,-1.05272294073339,0.377026495465918,-2.79217230988624,0.00524372649149184
"STR",-0.00236852889949032,0.00183432115137815,-1.29122912730457,0.196648801074909,-4.72318380380772e-06,0.00164803694772597,-0.00286594533594951,0.997713356641829
"CR4",0.0251317774777927,0.0545647065927479,0.460586687753452,0.645103406810737,0.0903779903973816,0.0490233961698115,1.84356852969391,0.0652703810377849
"STR_CR4",0.00223900641882777,0.00344598751042721,0.649743045223686,0.515870496399902,-0.00242469308622665,0.00309603077646437,-0.783161816303269,0.433547357871838
"ROA",0.219202477651088,0.0252498080813807,8.68135222828598,4.40713630091785e-18,0.10851419605577,0.0226855676879925,4.7834022735612,1.74378190290962e-06
"SIZE",0.00545321687173903,0.00198451672712624,2.74788153569045,0.00600701427498735,0.00748771784568476,0.00178297943477731,4.19955367943993,2.69348401035156e-05
"LEV",0.0358361973980806,0.0174684352379712,2.05148296970431,0.0402413256683297,0.0274325427785537,0.0156944309721914,1.74791573056461,0.0805038769754239
"INTANG",0.154599544971672,0.0758033088521978,2.03948280507269,0.041423452683106,0.188367662792065,0.0681051154289131,2.76583721510141,0.00568625949334264
"QUICK",-0.00108814547546923,0.00114860991730882,-0.947358593262666,0.343474922365352,-0.00211446916759832,0.00103196301303467,-2.04897766769795,0.0404857294757609
"EQINC",-1.389392203581,0.355544782967308,-3.90778397023689,9.36516839262248e-05,-1.24078043711692,0.319437486975007,-3.88426683689132,0.000103183200490128
"OUTINSTI",-0.0978270195380242,0.0115647481852966,-8.4590704415338,3.00210505541139e-17,-0.0930254038127868,0.0103902919541632,-8.95310778784355,3.95521414521576e-19
"RELAT",8.1505910102022e-06,0.000237751115178733,0.0342820306187622,0.972652817035063,0.000158462902104477,0.000213606337081828,0.741845510153444,0.458195281516516
"FAM_Dum",0.00349295415194875,0.00488927307881568,0.714411753166963,0.474986330060046,0.00342931355050655,0.0043927436999548,0.780676903717793,0.435007755935874
"GDP",0.075091639495358,0.0254861086639124,2.94637523858971,0.00322132492074534,0.0663483167147148,0.0228978708010482,2.8975758179087,0.00376730696474879
