"","ETR.CR4_Estimate","ETR.CR4_Std. Error","ETR.CR4_t value","ETR.CR4_Pr(>|t|)","CETR.CR4_Estimate","CETR.CR4_Std. Error","CETR.CR4_t value","CETR.CR4_Pr(>|t|)"
"(Intercept)",-1.13835657333384,0.418767693802706,-2.71834859799417,0.0065701745968741,-1.03376692707596,0.376242764430444,-2.74760613307973,0.00601205773004399
"STR",-0.0012479824888165,0.00062487816513926,-1.99716130029664,0.0458299233135021,-0.00121819944359023,0.000561423175100475,-2.16984174793321,0.0300381481520809
"CR4",0.0594203214084181,0.0138695602184027,4.28422534476448,1.84787825234061e-05,0.0532458076996233,0.0124611371775609,4.27294932564456,1.94373580229098e-05
"ROA",0.219464816408722,0.025245979474905,8.69306008217563,3.97819692588441e-18,0.108230100857769,0.0226823063215272,4.77156508353167,1.84927511423579e-06
"SIZE",0.00541350634563309,0.00198352822709541,2.72923080785212,0.00635736116091522,0.00753072166974263,0.00178210534034126,4.22574440425646,2.39890752930314e-05
"LEV",0.0357885321063973,0.0174678658780674,2.04882109561725,0.0405010437421887,0.0274841610777354,0.0156940428880377,1.75124799096123,0.079928429907774
"INTANG",0.152968833917399,0.0757599479464136,2.01912538305328,0.0434961036357632,0.190133612985725,0.0680666934682272,2.79334287149525,0.00522479842886843
"QUICK",-0.00113753566021924,0.0011460645752857,-0.992558085076193,0.320945122551538,-0.00206098292544925,0.00102968426266532,-2.00156785936927,0.0453534199561241
"EQINC",-1.38301097037316,0.355400662706186,-3.89141359456752,0.000100193804938217,-1.24769088271037,0.319310514626244,-3.90745317037495,9.37797511305188e-05
"OUTINSTI",-0.0979032186036234,0.0115638785918216,-8.46629595997871,2.82268734548777e-17,-0.0929428853590751,0.0103895924000642,-8.94576820535338,4.22523206586369e-19
"RELAT",7.16809386290493e-06,0.000237740653892349,0.0301508965570134,0.975947204715331,0.000159526880313852,0.000213598618426617,0.746853521286506,0.455166433746976
"FAM_Dum",0.00342058791526105,0.00488788812932017,0.699808961408616,0.484060013345187,0.00350768130876631,0.00439153394404057,0.798737150495291,0.424458450319909
"GDP",0.0751639760310617,0.025485259558788,2.9493117720727,0.00319089284738075,0.0662699811206198,0.0228972880442475,2.89422839039092,0.00380767757316554
