old,new,type
公司,Company,text
上市別,Mark_type,text
TSE新產業_代碼,TSE_indCode,text
TSE新產業_名稱,TSE_indName,text
所得稅費用_2015,BTE_2015,numeric
所得稅費用_2014,BTE_2014,numeric
所得稅費用_2013,BTE_2013,numeric
所得稅費用_2012,BTE_2012,numeric
所得稅費用_2011,BTE_2011,numeric
所得稅費用_2010,BTE_2010,numeric
所得稅費用_2009,BTE_2009,numeric
所得稅費用_2008,BTE_2008,numeric
所得稅費用_2007,BTE_2007,numeric
所得稅費用_2006,BTE_2006,numeric
所得稅費用_2005,BTE_2005,numeric
所得稅費用_2004,BTE_2004,numeric
所得稅費用_2003,BTE_2003,numeric
所得稅費用_2002,BTE_2002,numeric
所得稅費用_2001,BTE_2001,numeric
本期支付所得稅_2015,CashTaxPaid_2015,numeric
本期支付所得稅_2014,CashTaxPaid_2014,numeric
本期支付所得稅_2013,CashTaxPaid_2013,numeric
本期支付所得稅_2012,CashTaxPaid_2012,numeric
本期支付所得稅_2011,CashTaxPaid_2011,numeric
本期支付所得稅_2010,CashTaxPaid_2010,numeric
本期支付所得稅_2009,CashTaxPaid_2009,numeric
本期支付所得稅_2008,CashTaxPaid_2008,numeric
本期支付所得稅_2007,CashTaxPaid_2007,numeric
本期支付所得稅_2006,CashTaxPaid_2006,numeric
本期支付所得稅_2005,CashTaxPaid_2005,numeric
本期支付所得稅_2004,CashTaxPaid_2004,numeric
本期支付所得稅_2003,CashTaxPaid_2003,numeric
本期支付所得稅_2002,CashTaxPaid_2002,numeric
本期支付所得稅_2001,CashTaxPaid_2001,numeric
繼續營業部門稅前純益_2015,PTEBX_2015,numeric
繼續營業部門稅前純益_2014,PTEBX_2014,numeric
繼續營業部門稅前純益_2013,PTEBX_2013,numeric
繼續營業部門稅前純益_2012,PTEBX_2012,numeric
繼續營業部門稅前純益_2011,PTEBX_2011,numeric
繼續營業部門稅前純益_2010,PTEBX_2010,numeric
繼續營業部門稅前純益_2009,PTEBX_2009,numeric
繼續營業部門稅前純益_2008,PTEBX_2008,numeric
繼續營業部門稅前純益_2007,PTEBX_2007,numeric
繼續營業部門稅前純益_2006,PTEBX_2006,numeric
繼續營業部門稅前純益_2005,PTEBX_2005,numeric
