"","Number.of.NAs"
"company",0
"date",0
"market",21
"TSE_code",0
"TSE_name",0
"TEJ_name2",0
"TEJ_code2",0
"TEJ_name1",0
"TEJ_code1",0
"BTE",37
"CTP_GAAP",755
"CTP_IFRS_CFI",7162
"CTP_IFRS_CFO",6601
"CTP_IFRS_CFF",7162
"PTEBX",32
"EBIT",428
"OERD",1714
"OEPRO",2165
"NetSales",29
"employee",3624
"PB",5287
"FA",20
"Land",647
"LandR",753
"GrossSales",637
"TA",19
"TL",22
"INTAN",540
"QUICK",661
"InvIn",660
"InvLoss",660
"OUTINSTI",4580
"RELATIN",3149
"RELATOUT",2837
"FAMILY",2648
"FAMILY2",2648
"year",0
