"","Number.of.NAs"
"company",0
"date",0
"market",50
"TSE_code",6
"TSE_name",6
"TEJ_name2",0
"TEJ_code2",0
"TEJ_name1",0
"TEJ_code1",0
"BTE",442
"CTP_GAAP",5354
"CTP_IFRS_CFI",9310
"CTP_IFRS_CFO",3368
"CTP_IFRS_CFF",9310
"PTEBX",431
"EBIT",654
"OERD",1470
"OEPRO",1553
"NetSales",431
"employee",730
"PB",1718
"FA",431
"Land",679
"LandR",849
"GrossSales",551
"TA",431
"TL",432
"INTAN",495
"QUICK",560
"InvIn",631
"InvLoss",631
"OUTINSTI",1245
"RELATIN",4311
"RELATOUT",1669
"FAMILY",1227
"FAMILY2",1227
