"","Number.of.NAs"
"company",0
"date",0
"market",80
"TSE_code",6
"TSE_name",6
"TEJ_name2",0
"TEJ_code2",0
"TEJ_name1",0
"TEJ_code1",0
"BTE",768
"CTP_GAAP",6286
"CTP_IFRS_CFI",21344
"CTP_IFRS_CFO",15402
"CTP_IFRS_CFF",21344
"PTEBX",757
"EBIT",1315
"OERD",3749
"OEPRO",4658
"NetSales",755
"employee",4966
"PB",6797
"FA",743
"Land",1594
"LandR",1914
"GrossSales",1452
"TA",742
"TL",745
"INTAN",1342
"QUICK",1476
"InvIn",1558
"InvLoss",1558
"OUTINSTI",5504
"RELATIN",7832
"RELATOUT",4486
"FAMILY",3242
"FAMILY2",3242
