"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"M1100水泥工業","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型"
"M1200食品工業","高寡佔II 型","高寡佔II 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型"
"M1300塑膠工業","高寡佔I 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M1400紡織纖維","低寡占II 型","低寡占II 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M1500電機機械","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","低寡占I 型","低寡占I 型","低寡占II 型","低寡占II 型","競爭I 型"
"M1600電器電纜","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型"
"M1721化學工業","低寡占II 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型"
"M1722生技醫療","低寡占II 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭II 型","競爭II 型","競爭II 型"
"M1800玻璃陶瓷",NA,NA,NA,NA,NA,"","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型"
"M1900造紙工業","高寡佔I 型","高寡佔I 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M2000鋼鐵工業","低寡占I 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M2100橡膠工業","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M2200汽車工業","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M2324半導體","低寡占II 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","低寡占II 型"
"M2325電腦及週邊","低寡占II 型","低寡占II 型","競爭I 型","競爭I 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型"
"M2326光電業","高寡佔II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型"
"M2327通信網路業","高寡佔I 型","高寡佔II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型"
"M2328電子零組件","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型"
"M2329電子通路業","低寡占II 型","競爭I 型","競爭I 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占I 型","低寡占I 型","低寡占I 型"
"M2330資訊服務業","低寡占II 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型","競爭I 型"
"M2500建材營造","競爭I 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型","競爭II 型"
"M2600航運業","高寡佔II 型","高寡佔II 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型","低寡占I 型"
"M2700觀光事業","低寡占I 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型","低寡占II 型"
"M2900貿易百貨","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M3200文化創意業","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型","高寡佔II 型"
"M9700油電燃氣業","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型","高寡佔I 型"
